Rented Bike Count,Temperature(°C),Humidity(%),Wind speed (m/s),Rainfall(mm),Snowfall (cm),weekday_sin,weekday_cos,Hour_sin,Hour_cos,No Holiday,Autumn,Spring,Summer
555,0.8,58,1.6,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.2993631229733582,-0.9541392564000488,1,0,0,0
862,0.6,66,1.4,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.4853019625310808,-0.8743466161445822,1,0,0,0
600,0.0,77,1.7,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.651372482722222,-0.7587581226927911,1,0,0,0
426,-0.3,79,1.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.7907757369376986,-0.6121059825476627,1,0,0,0
405,-0.8,81,0.8,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8978045395707417,-0.44039415155763423,1,0,0,0
398,-0.9,83,1.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.9680771188662041,-0.2506525322587213,1,0,0,0
323,-1.3,84,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.9987165071710528,-0.05064916883871355,1,0,0,0
328,-1.8,87,1.1,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1,0,0,0
308,-2.2,86,0.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945,1,0,0,0
262,-2.9,86,1.5,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.39435585511331855,0.9189578116202306,1,0,0,0
167,-3.5,81,2.2,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.5712682150947923,0.8207634412072763,1,0,0,0
89,-3.8,79,2.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866,1,0,0,0
79,-4.0,79,1.5,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8486442574947509,0.5289640103269624,1,0,0,0
70,-4.3,82,2.1,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203,1,0,0,0
146,-4.4,81,2.5,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9884683243281114,0.1514277775045767,1,0,0,0
219,-4.2,79,2.1,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9987165071710528,-0.05064916883871264,1,0,0,0
328,-2.9,68,1.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9680771188662043,-0.2506525322587204,1,0,0,0
334,-0.4,57,1.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8978045395707416,-0.4403941515576344,1,0,0,0
388,1.9,49,1.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.7907757369376989,-0.6121059825476626,1,0,0,0
479,4.3,41,1.3,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.6513724827222223,-0.758758122692791,1,0,0,0
606,6.0,36,1.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.48530196253108104,-0.8743466161445821,1,0,0,0
611,7.3,35,1.3,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.29936312297335804,-0.9541392564000488,1,0,0,0
589,7.6,41,2.3,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.10116832198743272,-0.994869323391895,1,0,0,0
618,6.4,48,2.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.10116832198743204,-0.9948693233918952,1,0,0,0
572,6.0,51,2.5,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.2993631229733582,-0.9541392564000488,1,0,0,0
489,5.5,53,1.5,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.4853019625310808,-0.8743466161445822,1,0,0,0
385,5.0,52,2.3,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.651372482722222,-0.7587581226927911,1,0,0,0
359,4.6,51,1.2,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.7907757369376986,-0.6121059825476627,1,0,0,0
377,4.1,55,1.2,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.8978045395707417,-0.44039415155763423,1,0,0,0
354,3.5,54,1.5,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.9680771188662041,-0.2506525322587213,1,0,0,0
366,4.0,56,1.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.9987165071710528,-0.05064916883871355,1,0,0,0
342,4.0,58,1.4,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.0,1.0,1,0,0,0
227,3.9,69,1.7,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.20129852008866006,0.9795299412524945,1,0,0,0
228,3.3,79,1.4,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.39435585511331855,0.9189578116202306,1,0,0,0
117,3.4,71,1.6,0.5,0.0,-0.7818314824680299,0.6234898018587334,0.5712682150947923,0.8207634412072763,1,0,0,0
76,3.5,73,1.0,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.72479278722912,0.6889669190756866,1,0,0,0
32,3.9,75,1.9,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8486442574947509,0.5289640103269624,1,0,0,0
13,3.4,86,2.5,1.0,0.0,-0.7818314824680299,0.6234898018587334,0.9377521321470804,0.3473052528448203,1,0,0,0
22,3.1,91,1.2,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.9884683243281114,0.1514277775045767,1,0,0,0
85,3.2,92,1.8,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.9987165071710528,-0.05064916883871264,1,0,0,0
152,3.5,91,1.8,2.5,0.0,-0.7818314824680299,0.6234898018587334,0.9680771188662043,-0.2506525322587204,1,0,0,0
200,4.4,89,2.2,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.8978045395707416,-0.4403941515576344,1,0,0,0
273,5.1,87,1.4,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.7907757369376989,-0.6121059825476626,1,0,0,0
333,5.8,85,1.7,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,1,0,0,0
495,6.8,81,1.9,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.48530196253108104,-0.8743466161445821,1,0,0,0
563,7.6,76,1.2,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.29936312297335804,-0.9541392564000488,1,0,0,0
621,8.0,73,1.6,0.0,0.0,-0.7818314824680299,0.6234898018587334,0.10116832198743272,-0.994869323391895,1,0,0,0
598,7.6,77,1.6,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.10116832198743204,-0.9948693233918952,1,0,0,0
545,6.7,82,1.5,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.2993631229733582,-0.9541392564000488,1,0,0,0
443,6.0,84,1.9,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.4853019625310808,-0.8743466161445822,1,0,0,0
422,5.7,85,1.7,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.651372482722222,-0.7587581226927911,1,0,0,0
397,5.2,87,1.4,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.7907757369376986,-0.6121059825476627,1,0,0,0
385,4.7,87,1.2,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.8978045395707417,-0.44039415155763423,1,0,0,0
350,4.3,89,1.8,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.9680771188662041,-0.2506525322587213,1,0,0,0
303,3.9,90,1.3,0.0,0.0,-0.7818314824680299,0.6234898018587334,-0.9987165071710528,-0.05064916883871355,1,0,0,0
285,4.2,88,0.6,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,0
186,4.3,87,0.5,0.0,0.0,0.0,1.0,0.20129852008866006,0.9795299412524945,1,0,0,0
112,4.4,87,1.8,0.0,0.0,0.0,1.0,0.39435585511331855,0.9189578116202306,1,0,0,0
65,3.6,85,2.3,0.0,0.0,0.0,1.0,0.5712682150947923,0.8207634412072763,1,0,0,0
41,2.8,89,1.5,0.0,0.0,0.0,1.0,0.72479278722912,0.6889669190756866,1,0,0,0
82,2.0,83,2.7,0.0,0.0,0.0,1.0,0.8486442574947509,0.5289640103269624,1,0,0,0
200,1.2,76,3.7,0.1,0.0,0.0,1.0,0.9377521321470804,0.3473052528448203,1,0,0,0
498,0.2,68,3.4,0.0,0.0,0.0,1.0,0.9884683243281114,0.1514277775045767,1,0,0,0
937,-0.8,69,3.5,0.0,0.0,0.0,1.0,0.9987165071710528,-0.05064916883871264,1,0,0,0
509,-1.5,47,4.2,0.0,0.0,0.0,1.0,0.9680771188662043,-0.2506525322587204,1,0,0,0
311,-1.1,40,4.5,0.0,0.0,0.0,1.0,0.8978045395707416,-0.4403941515576344,1,0,0,0
379,-0.5,41,4.1,0.0,0.0,0.0,1.0,0.7907757369376989,-0.6121059825476626,1,0,0,0
393,-0.3,38,4.8,0.0,0.0,0.0,1.0,0.6513724827222223,-0.758758122692791,1,0,0,0
391,0.0,30,5.4,0.0,0.0,0.0,1.0,0.48530196253108104,-0.8743466161445821,1,0,0,0
338,0.1,27,4.5,0.0,0.0,0.0,1.0,0.29936312297335804,-0.9541392564000488,1,0,0,0
341,-0.1,25,5.8,0.0,0.0,0.0,1.0,0.10116832198743272,-0.994869323391895,1,0,0,0
375,-0.2,23,4.7,0.0,0.0,0.0,1.0,-0.10116832198743204,-0.9948693233918952,1,0,0,0
515,-1.3,26,5.3,0.0,0.0,0.0,1.0,-0.2993631229733582,-0.9541392564000488,1,0,0,0
807,-2.1,29,3.9,0.0,0.0,0.0,1.0,-0.4853019625310808,-0.8743466161445822,1,0,0,0
568,-2.9,32,3.2,0.0,0.0,0.0,1.0,-0.651372482722222,-0.7587581226927911,1,0,0,0
398,-3.6,38,3.0,0.0,0.0,0.0,1.0,-0.7907757369376986,-0.6121059825476627,1,0,0,0
397,-4.6,43,4.5,0.0,0.0,0.0,1.0,-0.8978045395707417,-0.44039415155763423,1,0,0,0
353,-5.3,45,2.5,0.0,0.0,0.0,1.0,-0.9680771188662041,-0.2506525322587213,1,0,0,0
248,-5.8,44,2.4,0.0,0.0,0.0,1.0,-0.9987165071710528,-0.05064916883871355,1,0,0,0
216,-6.1,42,2.6,0.0,0.0,0.7818314824680298,0.6234898018587336,0.0,1.0,1,0,0,0
198,-6.5,41,2.8,0.0,0.0,0.7818314824680298,0.6234898018587336,0.20129852008866006,0.9795299412524945,1,0,0,0
124,-6.8,41,2.5,0.0,0.0,0.7818314824680298,0.6234898018587336,0.39435585511331855,0.9189578116202306,1,0,0,0
62,-6.9,39,2.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.5712682150947923,0.8207634412072763,1,0,0,0
42,-7.2,34,3.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.72479278722912,0.6889669190756866,1,0,0,0
82,-7.4,33,2.6,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8486442574947509,0.5289640103269624,1,0,0,0
172,-7.4,34,3.2,0.0,0.0,0.7818314824680298,0.6234898018587336,0.9377521321470804,0.3473052528448203,1,0,0,0
381,-7.5,33,2.2,0.0,0.0,0.7818314824680298,0.6234898018587336,0.9884683243281114,0.1514277775045767,1,0,0,0
812,-8.1,36,1.6,0.0,0.0,0.7818314824680298,0.6234898018587336,0.9987165071710528,-0.05064916883871264,1,0,0,0
462,-7.6,31,1.3,0.0,0.0,0.7818314824680298,0.6234898018587336,0.9680771188662043,-0.2506525322587204,1,0,0,0
269,-5.5,26,2.8,0.0,0.0,0.7818314824680298,0.6234898018587336,0.8978045395707416,-0.4403941515576344,1,0,0,0
334,-3.9,25,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.7907757369376989,-0.6121059825476626,1,0,0,0
321,-2.3,25,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.6513724827222223,-0.758758122692791,1,0,0,0
325,-1.6,27,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.48530196253108104,-0.8743466161445821,1,0,0,0
334,-1.1,28,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.29936312297335804,-0.9541392564000488,1,0,0,0
353,-0.7,28,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,0.10116832198743272,-0.994869323391895,1,0,0,0
435,-0.5,30,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.10116832198743204,-0.9948693233918952,1,0,0,0
529,-1.6,35,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.2993631229733582,-0.9541392564000488,1,0,0,0
789,-2.6,40,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.4853019625310808,-0.8743466161445822,1,0,0,0
597,-3.2,45,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.651372482722222,-0.7587581226927911,1,0,0,0
418,-3.5,46,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.7907757369376986,-0.6121059825476627,1,0,0,0
415,-3.7,47,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.8978045395707417,-0.44039415155763423,1,0,0,0
393,-2.8,49,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.9680771188662041,-0.2506525322587213,1,0,0,0
244,-2.5,59,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.9987165071710528,-0.05064916883871355,1,0,0,0
145,-2.8,77,0.0,0.1,0.1,0.9749279121818236,-0.22252093395631434,0.0,1.0,1,0,0,0
144,-3.0,79,0.0,0.0,0.3,0.9749279121818236,-0.22252093395631434,0.20129852008866006,0.9795299412524945,1,0,0,0
117,-3.0,79,0.0,0.0,0.4,0.9749279121818236,-0.22252093395631434,0.39435585511331855,0.9189578116202306,1,0,0,0
78,-3.2,78,0.0,0.2,0.4,0.9749279121818236,-0.22252093395631434,0.5712682150947923,0.8207634412072763,1,0,0,0
58,-3.4,75,0.0,0.0,0.4,0.9749279121818236,-0.22252093395631434,0.72479278722912,0.6889669190756866,1,0,0,0
87,-3.6,76,0.0,0.0,0.4,0.9749279121818236,-0.22252093395631434,0.8486442574947509,0.5289640103269624,1,0,0,0
142,-3.7,76,0.0,0.0,0.4,0.9749279121818236,-0.22252093395631434,0.9377521321470804,0.3473052528448203,1,0,0,0
379,-4.2,77,0.0,0.0,0.3,0.9749279121818236,-0.22252093395631434,0.9884683243281114,0.1514277775045767,1,0,0,0
802,-4.2,78,0.0,0.0,0.2,0.9749279121818236,-0.22252093395631434,0.9987165071710528,-0.05064916883871264,1,0,0,0
440,-3.3,70,0.0,0.0,0.2,0.9749279121818236,-0.22252093395631434,0.9680771188662043,-0.2506525322587204,1,0,0,0
307,-0.9,64,0.0,0.0,0.2,0.9749279121818236,-0.22252093395631434,0.8978045395707416,-0.4403941515576344,1,0,0,0
381,1.6,57,1.2,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.7907757369376989,-0.6121059825476626,1,0,0,0
405,2.4,52,0.9,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.6513724827222223,-0.758758122692791,1,0,0,0
442,4.2,47,1.1,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.48530196253108104,-0.8743466161445821,1,0,0,0
416,5.5,34,1.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.29936312297335804,-0.9541392564000488,1,0,0,0
412,5.5,31,3.1,0.0,0.0,0.9749279121818236,-0.22252093395631434,0.10116832198743272,-0.994869323391895,1,0,0,0
496,5.3,37,2.9,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.10116832198743204,-0.9948693233918952,1,0,0,0
239,4.1,60,2.5,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.2993631229733582,-0.9541392564000488,1,0,0,0
204,1.7,90,1.0,0.3,0.3,0.9749279121818236,-0.22252093395631434,-0.4853019625310808,-0.8743466161445822,1,0,0,0
205,1.2,92,0.7,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.651372482722222,-0.7587581226927911,1,0,0,0
190,1.2,94,0.6,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.7907757369376986,-0.6121059825476627,1,0,0,0
165,1.1,92,0.5,0.7,1.0,0.9749279121818236,-0.22252093395631434,-0.8978045395707417,-0.44039415155763423,1,0,0,0
222,1.3,92,0.6,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.9680771188662041,-0.2506525322587213,1,0,0,0
193,1.3,92,0.6,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.9987165071710528,-0.05064916883871355,1,0,0,0
198,1.4,92,0.5,0.0,0.9,0.43388373911755823,-0.900968867902419,0.0,1.0,1,0,0,0
218,1.5,92,0.4,0.0,0.9,0.43388373911755823,-0.900968867902419,0.20129852008866006,0.9795299412524945,1,0,0,0
149,1.4,92,0.7,0.0,0.9,0.43388373911755823,-0.900968867902419,0.39435585511331855,0.9189578116202306,1,0,0,0
102,1.9,91,1.4,0.0,0.9,0.43388373911755823,-0.900968867902419,0.5712682150947923,0.8207634412072763,1,0,0,0
62,1.6,92,0.7,0.0,0.9,0.43388373911755823,-0.900968867902419,0.72479278722912,0.6889669190756866,1,0,0,0
83,1.5,92,1.1,0.0,0.9,0.43388373911755823,-0.900968867902419,0.8486442574947509,0.5289640103269624,1,0,0,0
137,1.0,93,0.5,0.0,0.9,0.43388373911755823,-0.900968867902419,0.9377521321470804,0.3473052528448203,1,0,0,0
367,0.3,93,0.5,0.0,0.9,0.43388373911755823,-0.900968867902419,0.9884683243281114,0.1514277775045767,1,0,0,0
754,-0.2,96,0.8,0.0,0.8,0.43388373911755823,-0.900968867902419,0.9987165071710528,-0.05064916883871264,1,0,0,0
415,0.1,91,0.8,0.0,0.8,0.43388373911755823,-0.900968867902419,0.9680771188662043,-0.2506525322587204,1,0,0,0
321,1.1,83,0.7,0.0,0.7,0.43388373911755823,-0.900968867902419,0.8978045395707416,-0.4403941515576344,1,0,0,0
333,2.3,69,1.7,0.0,0.6,0.43388373911755823,-0.900968867902419,0.7907757369376989,-0.6121059825476626,1,0,0,0
431,3.7,65,2.4,0.0,0.3,0.43388373911755823,-0.900968867902419,0.6513724827222223,-0.758758122692791,1,0,0,0
394,4.1,37,3.1,0.0,0.0,0.43388373911755823,-0.900968867902419,0.48530196253108104,-0.8743466161445821,1,0,0,0
390,4.4,36,2.7,0.0,0.0,0.43388373911755823,-0.900968867902419,0.29936312297335804,-0.9541392564000488,1,0,0,0
430,4.0,35,3.1,0.0,0.0,0.43388373911755823,-0.900968867902419,0.10116832198743272,-0.994869323391895,1,0,0,0
471,3.2,38,2.9,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.10116832198743204,-0.9948693233918952,1,0,0,0
552,2.1,50,2.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.2993631229733582,-0.9541392564000488,1,0,0,0
795,0.7,46,2.7,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.4853019625310808,-0.8743466161445822,1,0,0,0
507,-0.4,47,2.5,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.651372482722222,-0.7587581226927911,1,0,0,0
390,-1.4,47,2.5,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.7907757369376986,-0.6121059825476627,1,0,0,0
402,-2.2,46,2.2,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.8978045395707417,-0.44039415155763423,1,0,0,0
389,-2.7,48,2.6,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.9680771188662041,-0.2506525322587213,1,0,0,0
259,-3.2,50,2.1,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.9987165071710528,-0.05064916883871355,1,0,0,0
233,-3.5,49,2.6,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.0,1.0,1,0,0,0
230,-3.7,50,2.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.20129852008866006,0.9795299412524945,1,0,0,0
131,-4.3,53,1.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.39435585511331855,0.9189578116202306,1,0,0,0
99,-4.8,52,1.6,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.5712682150947923,0.8207634412072763,1,0,0,0
71,-5.3,53,2.4,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.72479278722912,0.6889669190756866,1,0,0,0
84,-5.8,56,2.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8486442574947509,0.5289640103269624,1,0,0,0
158,-6.0,56,3.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9377521321470804,0.3473052528448203,1,0,0,0
387,-6.5,57,0.8,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9884683243281114,0.1514277775045767,1,0,0,0
780,-7.0,59,0.8,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9987165071710528,-0.05064916883871264,1,0,0,0
395,-6.7,50,0.9,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.9680771188662043,-0.2506525322587204,1,0,0,0
261,-5.3,44,2.8,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.8978045395707416,-0.4403941515576344,1,0,0,0
310,-3.7,39,1.4,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.7907757369376989,-0.6121059825476626,1,0,0,0
355,-2.0,30,1.4,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.6513724827222223,-0.758758122692791,1,0,0,0
354,-1.7,28,1.8,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.48530196253108104,-0.8743466161445821,1,0,0,0
350,-1.3,27,3.1,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.29936312297335804,-0.9541392564000488,1,0,0,0
362,-0.8,26,3.3,0.0,0.0,-0.433883739117558,-0.9009688679024191,0.10116832198743272,-0.994869323391895,1,0,0,0
401,-1.1,24,3.4,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.10116832198743204,-0.9948693233918952,1,0,0,0
500,-2.4,30,2.7,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.2993631229733582,-0.9541392564000488,1,0,0,0
752,-3.1,33,1.2,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.4853019625310808,-0.8743466161445822,1,0,0,0
477,-3.3,35,1.1,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.651372482722222,-0.7587581226927911,1,0,0,0
384,-3.3,34,1.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.7907757369376986,-0.6121059825476627,1,0,0,0
336,-3.3,35,0.5,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.8978045395707417,-0.44039415155763423,1,0,0,0
347,-3.4,39,1.2,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.9680771188662041,-0.2506525322587213,1,0,0,0
275,-3.5,43,0.9,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.9987165071710528,-0.05064916883871355,1,0,0,0
267,-3.5,48,0.9,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,1,0,0,0
296,-4.1,49,0.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.20129852008866006,0.9795299412524945,1,0,0,0
237,-4.7,50,0.7,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.39435585511331855,0.9189578116202306,1,0,0,0
169,-4.3,47,0.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.5712682150947923,0.8207634412072763,1,0,0,0
96,-4.3,49,0.7,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.72479278722912,0.6889669190756866,1,0,0,0
56,-4.7,49,0.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8486442574947509,0.5289640103269624,1,0,0,0
76,-5.1,53,0.9,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9377521321470804,0.3473052528448203,1,0,0,0
127,-5.5,56,0.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9884683243281114,0.1514277775045767,1,0,0,0
222,-5.4,56,0.7,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9987165071710528,-0.05064916883871264,1,0,0,0
291,-4.7,48,1.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.9680771188662043,-0.2506525322587204,1,0,0,0
273,-2.2,42,1.3,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.8978045395707416,-0.4403941515576344,1,0,0,0
351,0.0,45,1.1,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.7907757369376989,-0.6121059825476626,1,0,0,0
427,2.4,40,0.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.6513724827222223,-0.758758122692791,1,0,0,0
431,3.9,36,2.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.48530196253108104,-0.8743466161445821,1,0,0,0
486,4.7,32,2.2,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.29936312297335804,-0.9541392564000488,1,0,0,0
569,5.2,30,2.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,0.10116832198743272,-0.994869323391895,1,0,0,0
546,4.4,33,1.6,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.10116832198743204,-0.9948693233918952,1,0,0,0
481,3.5,37,1.8,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.2993631229733582,-0.9541392564000488,1,0,0,0
384,2.5,41,1.0,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.4853019625310808,-0.8743466161445822,1,0,0,0
275,1.5,48,0.4,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.651372482722222,-0.7587581226927911,1,0,0,0
298,0.8,51,1.4,0.0,0.0,-0.9749279121818236,-0.2225209339563146,-0.7907757369376986,-0.6121059825476627,1,0,0,0
